created_at,updated_at,name,id,municipality_id
2023-06-12 05:22:37.414186 +00:00,2023-06-12 05:22:37.415353 +00:00,4ta A,358364,1132
2023-06-12 05:22:37.441664 +00:00,2023-06-12 05:22:37.443266 +00:00,4ta B,72734,1132
2023-06-12 05:22:37.521766 +00:00,2023-06-12 05:22:37.522373 +00:00,6ta,421265,1132
2023-06-12 05:22:37.695222 +00:00,2023-06-12 05:22:37.696834 +00:00,Acceso a Pino Picado,231091,1132
2023-06-12 05:22:37.813647 +00:00,2023-06-12 05:22:37.815248 +00:00,Acera 2,167897,1132
2023-06-12 05:22:37.859489 +00:00,2023-06-12 05:22:37.861152 +00:00,Acera 410,104434,1132
2023-06-12 05:22:37.940627 +00:00,2023-06-12 05:22:37.942326 +00:00,Acera Peatonal 28,390009,1132
2023-06-12 05:22:37.994570 +00:00,2023-06-12 05:22:37.996201 +00:00,Antonio M Rubio,294928,1132
2023-06-12 05:22:38.075734 +00:00,2023-06-12 05:22:38.077405 +00:00,B,484126,1132
2023-06-12 05:22:38.102744 +00:00,2023-06-12 05:22:38.104386 +00:00,B 1,389770,1132
2023-06-12 05:22:38.264928 +00:00,2023-06-12 05:22:38.266549 +00:00,Callejón a La Vega,421268,1132
2023-06-12 05:22:38.373071 +00:00,2023-06-12 05:22:38.374697 +00:00,Carretera P. del Rio La Fe/Sabanalamar,199510,1132
2023-06-12 05:22:38.400114 +00:00,2023-06-12 05:22:38.401756 +00:00,Carretera Pinar del Río-La Fé-Catalina-Cortés,262925,1132
2023-06-12 05:22:38.427021 +00:00,2023-06-12 05:22:38.428720 +00:00,Carretera Pinar del Río-La Fé/Ferrocarril (Sábalo),326547,1132
2023-06-12 05:22:38.454177 +00:00,2023-06-12 05:22:38.455812 +00:00,Carretera Pinar del Río-La Fe (La Ceiba)/Pinar del Río La Fé (Boquerones),135891,1132
2023-06-12 05:23:28.632812 +00:00,2023-06-12 05:23:28.632820 +00:00,Santa Rita,354221,1035
2023-06-12 05:12:02.331237 +00:00,2023-06-12 05:12:02.331255 +00:00,Comandante Murrieta Interior,72278,1132
2023-06-12 05:12:02.360549 +00:00,2023-06-12 05:12:02.360593 +00:00,D,9143,1132
